DATE,vwretd,vwretx
20091201,0.014012,0.013961
20091202,0.002348,0.002242
20091203,-0.008822,-0.008847
20091204,0.005367,0.005353
20091207,-0.001580,-0.001610
20091208,-0.010584,-0.010693
20091209,0.003535,0.003407
20091210,0.005289,0.005218
20091211,0.003175,0.002976
20091214,0.008469,0.008388
20091215,-0.004616,-0.004640
20091216,0.003299,0.003257
20091217,-0.012546,-0.012602
20091218,0.006089,0.006017
20091221,0.009738,0.009706
20091222,0.004604,0.004464
20091223,0.004716,0.004474
20091224,0.005244,0.005128
20091228,0.000982,0.000886
20091229,-0.000931,-0.001166
20091230,-0.000669,-0.000750
20091231,-0.008661,-0.008697
20100104,0.017122,0.017045
20100105,0.003368,0.003362
20100106,0.002053,0.001769
20100107,0.002858,0.002821
20100108,0.004162,0.004161
20100111,0.001123,0.001122
20100112,-0.010994,-0.011004
20100113,0.008641,0.008537
20100114,0.002316,0.002293
20100115,-0.011322,-0.011348
20100119,0.012051,0.012048
20100120,-0.011064,-0.011172
20100121,-0.017741,-0.017764
20100122,-0.020989,-0.021030
20100125,0.003894,0.003884
20100126,-0.004905,-0.004917
20100127,0.004156,0.004051
20100128,-0.011294,-0.011402
20100129,-0.010282,-0.010306
20100201,0.015094,0.015068
20100202,0.012231,0.012222
20100203,-0.004969,-0.005246
20100204,-0.031965,-0.032011
20100205,0.002660,0.002650
20100208,-0.008231,-0.008449
20100209,0.013889,0.013855
20100210,-0.001472,-0.001749
20100211,0.012097,0.011989
20100212,-0.000657,-0.000794
20100216,0.017970,0.017863
20100217,0.004663,0.004487
20100218,0.006188,0.006111
20100219,0.002455,0.002338
20100222,-0.001112,-0.001151
20100223,-0.013064,-0.013075
20100224,0.008521,0.008372
20100225,-0.000715,-0.000912
20100226,0.001847,0.001811
20100301,0.011977,0.011937
20100302,0.004410,0.004404
20100303,0.001603,0.001471
20100304,0.003092,0.003048
20100305,0.014482,0.014447
20100308,0.000731,0.000588
20100309,0.001684,0.001623
20100310,0.005055,0.004928
20100311,0.003975,0.003634
20100312,0.000743,0.000730
20100315,-0.000679,-0.000710
20100316,0.008741,0.008725
20100317,0.005598,0.005576
20100318,-0.002027,-0.002045
20100319,-0.006887,-0.006924
20100322,0.005856,0.005827
20100323,0.007669,0.007585
20100324,-0.006609,-0.006634
20100325,-0.002438,-0.002496
20100326,0.000649,0.000641
20100329,0.006782,0.006588
20100330,0.000452,0.000338
20100331,-0.002771,-0.002807
20100401,0.008648,0.008532
20100405,0.009542,0.009517
20100406,0.002103,0.002100
20100407,-0.005359,-0.005646
20100408,0.002843,0.002807
20100409,0.006696,0.006690
20100412,0.001783,0.001767
20100413,0.000736,0.000627
20100414,0.012326,0.012284
20100415,0.000094,0.000088
20100416,-0.016103,-0.016104
20100419,0.002262,0.002254
20100420,0.009802,0.009756
20100421,-0.000547,-0.000569
20100422,0.003584,0.003547
20100423,0.007442,0.007441
20100426,-0.003208,-0.003213
20100427,-0.023841,-0.023846
20100428,0.005235,0.005032
20100429,0.013625,0.013527
20100430,-0.016833,-0.016849
20100503,0.012866,0.012828
20100504,-0.025353,-0.025360
20100505,-0.009196,-0.009473
20100506,-0.032556,-0.032677
20100507,-0.015840,-0.015846
20100510,0.044910,0.044855
20100511,-0.000933,-0.001075
20100512,0.016248,0.015898
20100513,-0.010845,-0.010900
20100514,-0.019390,-0.019413
20100517,-0.000561,-0.000693
20100518,-0.013642,-0.013783
20100519,-0.007144,-0.007248
20100520,-0.040363,-0.040424
20100521,0.015282,0.015251
20100524,-0.012036,-0.012127
20100525,-0.000157,-0.000171
20100526,-0.002872,-0.003079
20100527,0.035103,0.034837
20100528,-0.011748,-0.011826
20100601,-0.018509,-0.018572
20100602,0.026570,0.026430
20100603,0.004791,0.004753
20100604,-0.035864,-0.035893
20100607,-0.014004,-0.014047
20100608,0.009220,0.009100
20100609,-0.003830,-0.003890
20100610,0.029505,0.029489
20100611,0.006187,0.005837
20100614,0.000012,-0.000023
20100615,0.023856,0.023823
20100616,-0.001213,-0.001240
20100617,0.000906,0.000808
20100618,0.001706,0.001659
20100621,-0.004319,-0.004353
20100622,-0.016136,-0.016232
20100623,-0.002926,-0.003042
