Name,cik
American Express Co, 0000004962
Amgen Inc, 0000318154
Apple Inc, 0000320193 
Boeing Co, 0000012927 
Caterpillar Inc, 0000018230
Cisco Systems Inc, 0000858877
Chevron Corp, 0000093410 
Goldman Sachs Group Inc, 0000886982
Home Depot Inc, 0000354950
Honeywell International Inc, 0000773840 
International Business Machines Corp, 0000051143 
Intel Corp, 0000050863
Johnson & Johnson, 0000200406 
Coca-Cola Co,0000317540 
JPMorgan Chase & Co,0000019617 
McDonald’s Corp, 0000063908
3M Co,0000066740 
Merck & Co Inc,0000064978 
Microsoft Corp, 0000789019 
Nike Inc,0000320187 
Procter & Gamble Co, 0000080424 
Travelers Companies Inc, 0000086312 
UnitedHealth Group Inc, 0000731766 
Salesforce.Com Inc, 0001108524
Verizon Communications Inc, 0000732712 
Visa Inc,0001403161 
Walgreens Boots Alliance Inc,0001618921 
Walmart Inc, 0000104169 
Walt Disney Co, 0001744489 
Dow Inc, 0001751788 
Kraft,0001103982 
Alcoa, 0001675149 
Bank of America, 0000070858 
Hewlett-Packard, 0001645590 
AT&T,0000732717 
General Electric,0000040545 
DowDuPont, 0001666700
ExxonMobil,0000034088 
Raytheon, 0000101829 
Pfizer,0000078003 
